Población por distritos y secciones censales de Gipuzkoa, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
063;Oiartzun;01;00;10351;5070;5281;0,96;20,6;59,5;19,9;1,3;3
01;1880;890;990;0,899;19;58,4;22,6;1,8;3,2
02;1191;591;600;0,985;23;57,8;19,2;1,5;3,1
03;1380;668;712;0,938;18;56,4;25,6;0,6;4,3
04;1955;965;990;0,975;23;60,4;16,6;1,4;4,3
05;1073;544;529;1,028;20,2;61;18,8;1,5;1,4
06;1246;598;648;0,923;19,3;63,5;17,3;1,6;1
07;1626;814;812;1,002;21,3;59,6;19,1;0,9;2,3
064;Pasaia;04;00;16711;8037;8674;0,927;18;60;22;3,1;7
01;00;2325;1156;1169;0,989;17;57,4;25,5;5;4,3
01;870;427;443;0,964;15,7;58;26,2;4,8;3,9
02;1455;729;726;1,004;17,8;57;25,2;5,1;4,5
02;00;3053;1474;1579;0,934;17,3;59,7;23,1;4;5
01;760;376;384;0,979;13,9;63,3;22,8;3,4;3,6
02;698;335;363;0,923;19,5;59,6;20,9;2,3;7
03;790;372;418;0,89;18,1;61,4;20,5;8,1;6,8
09;805;391;414;0,944;17,6;54,7;27,7;1,9;2,7
03;00;5369;2564;2805;0,914;19,9;59,8;20,3;1,6;8,3
01;1930;946;984;0,961;21,2;61,1;17,7;2,1;12,1
02;1861;881;980;0,899;18,5;59,5;22;1;6,5
03;1578;737;841;0,876;20,1;58,5;21,4;1,8;5,8
04;00;5964;2843;3121;0,911;17;61,4;21,6;3,3;8
01;1185;573;612;0,936;21,2;63,3;15,5;4,6;3,6
02;1217;542;675;0,803;15;61;24,1;4,1;10
03;798;395;403;0,98;18,8;54,8;26,4;2,8;7,3
04;1575;761;814;0,935;17,3;64,5;18,2;2,8;6,5
05;1189;572;617;0,927;13,4;60,4;26,2;2,3;12,8
065;Soraluze-Placencia de las Armas;02;00;3937;1978;1959;1,01;18,4;57,6;24;0,9;9,6
01;00;2342;1162;1180;0,985;17,2;57,2;25,7;0,9;8,1
01;1298;638;660;0,967;18;58,3;23,7;0,5;6,1
02;1044;524;520;1,008;16,2;55,7;28,1;1,5;10,6
02;00;1595;816;779;1,047;20,3;58,1;21,6;0,8;11,8
01;1595;816;779;1,047;20,3;58,1;21,6;0,8;11,8
066;Errezil;01;00;628;343;285;1,204;22,6;61;16,4;2,1;2,4
01;628;343;285;1,204;22,6;61;16,4;2,1;2,4
067;Errenteria;01;00;40141;19601;20540;0,954;18,7;57,8;23,5;1,3;6,1
01;645;324;321;1,009;15;66,2;18,8;1,4;6
02;1535;712;823;0,865;16;56,2;27,8;1,1;7,3
03;904;420;484;0,868;16,9;63,8;19,2;0,9;8,8
04;2255;1101;1154;0,954;18,8;58,8;22,4;2;4,1
05;1746;863;883;0,977;28,8;60;11,2;0,8;3
06;2063;955;1108;0,862;16,2;53,5;30,3;0,4;5,5
07;1044;528;516;1,023;20;54;26;1,4;8,3
08;965;481;484;0,994;20,9;57,1;22;3,1;11,7
09;1596;798;798;1;16,9;60,8;22,3;0,7;7,7
10;701;339;362;0,936;19,3;60,9;19,8;1,1;4,7
13;909;426;483;0,882;13;52,9;34,1;0,7;7,9
14;1243;625;618;1,011;15,4;59,3;25,3;1;12,4
15;1104;512;592;0,865;18,2;58,4;23,4;2,4;9,2
16;709;343;366;0,937;17,9;55,1;26,9;1,3;6,2
17;895;436;459;0,95;17,5;60,9;21,6;1,3;9,7
18;794;412;382;1,079;21,9;59,9;18,1;4,3;0,5
19;2274;1134;1140;0,995;25;60,2;14,8;0,7;4,4
20;1214;609;605;1,007;18,5;58,7;22,8;2;5,1
22;1779;892;887;1,006;21,6;54,5;23,9;1;3,7
